signature,lower_ci,archetype
7143b090,66.66,Magnezone Oricorio
8699c31c,60.97,Mega Altaria ex Banette
a16c44fe,60.97,Charizard ex Moltres ex
28ea6099,59.58,Naganadel Guzzlord ex
51cb39a2,56.50,Giratina ex Darkrai ex
4f151f7b,56.43,Mega Altaria ex Indeedee ex
22336bc3,55.78,Suicune ex Greninja ex
15676ecd,55.10,Mega Kangaskhan ex Pichu
20d1a998,54.91,Magnezone Oricorio
cd079be3,54.61,Hydreigon Mega Absol ex
b03ef3b3,54.28,Mega Altaria ex Altaria
66f94ea4,53.61,Suicune ex Greninja ex
524258eb,53.37,Mega Altaria ex Greninja
8acd216f,53.15,Hydreigon Mega Absol ex
4655324a,52.91,Mega Kangaskhan ex Pichu
ab2bf611,52.91,Greninja Mega Absol ex
d4735d04,52.91,Mega Altaria ex Greninja
d9d0c06b,52.66,Mega Altaria ex Gourgeist
0636fec8,52.30,Mega Altaria ex Indeedee ex
26c6c9a8,52.07,Hydreigon Mega Absol ex
